id,referencia,nombre,descripcion,id_tipo,cantidad,precio,descuento,iva,aplicarIva
1,EQG-43584,Wall Art,Abstract canvas print to enhance home decor.,4,24,45,19,11,false
2,EOL-89294,Adjustable Garden Rake,Heavy-duty rake with adjustable width for different gardening needs.,5,15,22.99,24,7,true
3,PNP-05579,Chocolate Covered Pretzels,"Crunchy pretzels coated in rich chocolate, a sweet treat.",6,3,3.29,16,7,false
4,LRG-93594,Water-Resistant Bluetooth Speaker,Durable speaker designed for outdoor use with water resistance.,2,23,59.99,20,11,false
5,IIE-86036,Insulated Coffee Mug,Double-walled mug to keep your drink hot for longer.,3,17,24.99,21,7,false
6,QGM-72629,Fresh Strawberries,"Sweet and juicy strawberries, perfect for desserts.",2,9,3.99,6,11,true
7,KAK-95107,Spicy Roasted Nuts,"A mix of nuts roasted with spicy seasonings, perfect for snacking.",2,24,4.99,15,11,true
8,VEZ-67300,Dried Cranberries,"Sweet and tart dried cranberries, great for salads and baking.",6,9,4.29,14,7,true
9,YYK-51417,Deep Tissue Massage Gun,Rechargeable massage gun for relieving muscle soreness.,5,16,89.99,21,21,false
10,PAF-70537,Smart LED Desk Lamp,Adjustable lamp with multiple brightness levels and colors.,4,13,39.99,9,11,false
11,NDR-83704,Stainless Steel Travel Mug,Insulated mug to keep drinks hot on the go.,4,12,19.99,15,21,true
12,BCN-64628,Stainless Steel Straws,Set of reusable stainless steel straws for drinks.,5,24,12.99,10,21,false
13,GZO-46996,Workstation Laptop Stand,Adjustable stand to improve ergonomics while working on a laptop.,5,13,49.99,18,7,true
14,YPA-04494,Homemade Salsa,"Fresh salsa made with tomatoes, onions, and cilantro.",3,24,3.79,16,11,true
15,BIV-79229,Crew Neck Sweater,"A comfortable crew neck sweater, great for all seasons.",1,12,39.99,9,7,false
16,QSP-65163,Fall-Themed Table Runner,Decorative table runner perfect for autumn gatherings.,5,23,19.99,14,21,true
17,YWE-92143,Fitness Smartwatch,Multifunctional smartwatch for fitness tracking.,4,18,99.99,22,7,true
18,UPZ-22824,Ribbed Knit Dress,A fitted ribbed knit dress that hugs your curves perfectly.,3,12,59.99,12,7,true
19,FIG-61158,Lemon Dill Salmon,"Salmon fillets seasoned with lemon and dill, perfect for grilling.",6,18,9.99,15,21,true
20,IMS-34241,Wall Art,Abstract canvas print to enhance home decor.,5,2,45,12,11,false
21,YHP-06197,Classic Caesar Dressing,Rich and creamy Caesar dressing for salads and wraps.,4,4,3.49,5,7,false
22,UKN-73105,Turkey Bacon,"Delicious turkey bacon, a healthier alternative.",3,3,3.99,5,11,false
23,RGH-84013,Granola Bars,"Crispy and chewy granola bars, perfect for on-the-go.",5,12,4.99,22,11,false
24,TNT-46602,Microfiber Cleaning Cloth Set,Assorted cloths for cleaning electronics and delicate surfaces.,4,9,9.99,8,21,false
25,YKL-22607,Pita Bread,"Soft pita bread, perfect for sandwiches or dips.",4,12,2.99,9,7,true
26,FIA-79905,Gingerbread House Kit,Everything you need to build a festive gingerbread house.,1,3,6.99,6,7,true
27,QEM-29634,Granola Clusters,"Crunchy granola clusters, perfect for snacking or topping yogurt.",5,8,4.99,13,21,true
28,JKP-78921,Herbal Tea Variety Pack,"Assorted herbal teas, perfect for a warm and relaxing drink.",5,7,4.99,25,7,true
29,DVA-41010,Electric Griddle,Large electric griddle for family meals.,1,8,54.99,19,11,true
30,KXG-71628,Herb Seasoned Rice,A flavorful rice side dish seasoned with herbs and spices.,2,6,2.99,21,21,false
31,ACX-86012,Mushroom Soup (canned),Creamy soup full of rich mushroom flavor.,1,2,2.49,24,11,false
32,ESJ-74436,Pesto Pasta Sauce,Rich basil pesto sauce for pasta and more.,5,8,3.99,13,7,false
33,LOH-98875,Coffee Grinder,Burr coffee grinder for fresh ground coffee.,2,7,39.99,5,21,false
34,YWI-83561,Solar Charger,Portable solar charger for outdoor adventures.,5,7,39.99,17,21,true
35,KJQ-74357,Turmeric Ginger Tea,A soothing tea blend with turmeric and ginger for wellness.,6,15,3.29,7,11,false
36,XWA-04368,Red Lentil Pasta,"Gluten-free pasta made from red lentils, packed with protein.",4,17,3.99,18,7,true
37,GUJ-31892,Smartphone Holder for Car,Secure phone mount for your vehicle's dashboard.,4,16,14.99,12,21,true
38,WBV-51118,Chipotle Black Bean Salad,"A zesty salad with black beans, corn, and chipotle dressing.",5,5,3.29,25,11,true
39,ROB-15131,Mini Cordless Vacuum Cleaner,Handheld vacuum cleaner for quick and easy cleaning.,1,17,45.99,7,11,true
40,FDX-17085,Taro Chips,"Crispy chips made from taro root, a wonderful snack.",5,12,3.59,10,11,true
41,XKU-74949,Camping Chair,Portable folding camping chair with cup holder.,6,18,29.99,20,21,true
42,CZS-36142,Gardening Gloves,Durable gardening gloves with reinforced fingertips.,5,2,15.99,6,21,false
43,MYH-63568,Dill Pickle Chips,Crispy dill pickles that are perfect for snacking or sandwiches.,2,6,2.29,20,21,true
44,DKB-77368,Portable Refrigerator Freezer,Compact fridge ideal for camping and road trips.,1,16,299.99,18,11,true
45,QTE-61622,Teriyaki Tofu Stir-Fry,Tofu stir-fried with fresh vegetables in teriyaki sauce.,3,13,7.49,7,7,false
46,PGA-00460,Wireless Induction Charger,Qi-certified charger for fast wireless charging of smartphones.,3,17,19.99,11,7,true
47,IRV-59873,Infrared Thermometer Gun,Non-contact thermometer for quick and easy temperature readings.,2,20,29.99,16,11,false
48,PXX-05384,Whole Wheat Bread,"Freshly baked whole wheat bread, rich in fiber.",6,10,2.49,14,7,true
49,PTC-68733,Portable Charger with Solar Panel,Eco-friendly charger with a built-in solar panel for outdoor use.,1,2,45.99,11,21,true
50,POH-67104,Electric Milk Frother,Handheld frother for creating frothed milk for coffee.,4,23,19.99,13,21,true
51,AIX-58120,Steak Seasoning Rub,A blend of spices perfect for seasoning steak.,4,12,2.49,19,21,false
52,IOT-84886,Inflatable Pool Float,Fun inflatable float for lounging in the pool or beach.,6,12,29.99,19,21,false
